index,time_s,prompt_tokens,completion_tokens,computed_tokens_per_sec,prompt_per_token_ms,predicted_ms,prompt_ms,prompt_per_second,predicted_n,predicted_per_token_ms,predicted_per_second,prompt_n,error
85,9.457085,78,580,61.329681,0.508895,8927.301000,39.693792,1965.042796,580,15.391898,64.969244,78,
86,0.925337,264,15,16.210302,0.464521,312.254250,122.633500,2152.755976,15,20.816950,48.037777,264,
87,3.778229,773,124,32.819612,0.140098,2661.126500,108.296000,7137.844426,124,21.460698,46.596808,773,
88,4.034247,62,205,50.814940,0.388431,3304.865459,24.082708,2574.461311,205,16.121295,62.029757,62,
89,6.401461,72,234,36.554156,0.701803,5621.355000,50.529791,1424.901995,234,24.022885,41.626974,72,
90,1.320009,48,24,18.181700,0.434299,654.132584,20.846375,2302.558598,24,27.255524,36.689810,48,
91,3.589848,33,161,44.848691,0.514024,2825.056042,16.962792,1945.434454,161,17.546932,56.990020,33,
92,8.984332,348,440,48.974148,0.315005,8073.407792,109.621750,3174.552495,440,18.348654,54.499910,348,
93,5.070514,412,290,57.193417,0.291513,4140.092625,120.103291,3430.380605,290,14.276181,70.046742,412,
94,8.223041,47,506,61.534410,0.520288,7464.177250,24.453542,1922.011952,506,14.751338,67.790459,47,
95,4.168588,84,240,57.573457,0.471085,3392.947250,39.571125,2122.759967,240,14.137280,70.734964,84,
96,3.779186,26,219,57.948993,0.784681,3034.809208,20.401708,1274.403104,219,13.857576,72.162691,26,
97,2.985340,1839,87,29.142406,0.054734,1333.940042,100.655000,18270.329343,87,15.332644,65.220323,1839,
98,2.016057,26,70,34.721233,0.844772,1275.922625,21.964083,1183.750763,70,18.227466,54.862261,26,
99,3.518710,25,196,55.702225,0.875765,2774.650417,21.894125,1141.858832,196,14.156380,70.639530,25,
