index,time_s,prompt_tokens,completion_tokens,computed_tokens_per_sec,prompt_per_token_ms,predicted_ms,prompt_ms,prompt_per_second,predicted_n,predicted_per_token_ms,predicted_per_second,prompt_n,error
70,2.865385,33,178,62.120790,0.656655,2485.851292,21.669625,1522.868993,178,13.965457,71.605249,33,
71,1.721372,1313,38,22.075418,0.087576,529.188917,114.987708,11418.611805,38,13.926024,71.808004,1313,
72,4.534407,3940,56,12.350016,0.046776,618.968042,184.295875,21378.666234,56,11.053001,90.473169,3940,
73,4.201429,871,374,89.017337,0.143920,3100.408291,125.353959,6948.324624,374,8.289862,120.629274,871,
74,3.972575,442,217,54.624514,0.315231,3011.444500,139.332125,3172.276315,217,13.877624,72.058442,442,
75,1.886195,56,81,42.943605,0.536797,1119.750125,30.060625,1862.902052,81,13.824076,72.337567,56,
76,3.343708,208,179,53.533383,0.336698,2508.684875,70.033250,2970.017813,179,14.014999,71.352126,208,
77,4.094294,85,238,58.129687,0.419717,3324.645667,35.675917,2382.559641,238,13.969099,71.586576,85,
78,1.509957,36,56,37.087148,0.635329,766.671291,22.871834,1573.988339,56,13.690559,73.043038,36,
79,1.441254,142,47,32.610487,0.389020,643.763125,55.240875,2570.560296,47,13.697088,73.008220,142,
80,4.234689,519,235,55.494036,0.030377,3251.720458,15.765750,32919.461491,235,13.837108,72.269435,519,
81,4.911771,47,300,61.077769,0.508363,4166.292292,23.893041,1967.099960,300,13.887641,72.006470,47,
82,3.514468,617,305,86.784123,0.069895,2510.739833,43.125042,14307.232443,305,8.231934,121.478138,617,
83,1.548451,614,39,25.186455,0.072556,536.331500,44.549334,13782.473157,39,13.752090,72.716221,614,
84,5.687738,84,351,61.711700,0.416405,4922.476958,34.978042,2401.506637,351,14.024151,71.305565,84,
85,8.870639,78,580,65.384240,0.464095,8113.877083,36.199375,2154.733334,580,13.989443,71.482473,78,
86,1.109175,264,15,13.523570,0.340960,196.011541,90.013542,2932.892031,15,13.067436,76.526106,264,
87,2.865443,773,124,43.274280,0.123894,1738.857333,95.770209,8071.403499,124,14.023043,71.311198,773,
88,3.630115,62,205,56.472042,0.415770,2878.823417,25.777750,2405.175006,205,14.043041,71.209647,62,
89,4.024379,72,234,58.145616,0.486061,3263.766209,34.996375,2057.355940,234,13.947719,71.696312,72,
90,1.062126,48,24,22.596198,0.463572,322.539333,22.251459,2157.161919,24,13.439139,74.409529,48,
91,2.982104,33,161,53.988726,0.678919,2236.257000,22.404333,1472.929366,161,13.889795,71.995303,33,
92,7.011144,348,440,62.757238,0.312288,6111.309542,108.676250,3202.171588,440,13.889340,71.997662,348,
93,4.941741,412,290,58.683778,0.311858,4007.845625,128.485666,3206.583371,290,13.820157,72.358076,412,
94,7.745336,47,506,65.329640,0.526227,6997.129125,24.732667,1900.320738,506,13.828318,72.315373,47,
95,2.308484,84,240,103.964316,0.407791,1981.970083,34.254458,2452.235560,240,8.258209,121.091636,84,
96,3.900115,26,219,56.152184,0.592929,3161.790542,15.416166,1686.541258,219,14.437400,69.264550,26,
97,2.922784,1839,87,29.766145,0.067434,1191.369333,124.010958,14829.334679,87,13.693900,73.025214,1839,
98,1.691531,26,70,41.382618,0.573095,958.643000,14.900458,1744.912807,70,13.694900,73.019883,26,
99,3.444038,25,196,56.909946,0.618328,2713.970250,15.458209,1617.263682,196,13.846787,72.218920,25,
