timestamp,0V8_AON_A_current_A,0V8_SW_A_current_A,1V1_SYS_A_current_A,1V8_SYS_A_current_A,3V3_ADC_A_current_A,3V3_DAC_A_current_A,3V3_SYS_A_current_A,3V7_WL_SW_A_current_A,DDR_VDD2_A_current_A,DDR_VDDQ_A_current_A,HDMI_A_current_A,VDD_CORE_A_current_A,0V8_AON_V_voltage_V,0V8_SW_V_voltage_V,1V1_SYS_V_voltage_V,1V8_SYS_V_voltage_V,3V3_ADC_V_voltage_V,3V3_DAC_V_voltage_V,3V3_SYS_V_voltage_V,3V7_WL_SW_V_voltage_V,BATT_V_voltage_V,DDR_VDD2_V_voltage_V,DDR_VDDQ_V_voltage_V,EXT5V_V_voltage_V,HDMI_V_voltage_V,VDD_CORE_V_voltage_V
2025-08-19T12:22:12.046357,0.0053724,0.6890066,0.3454792,0.279116,6.105e-05,0.0,0.1629803,0.00585558,0.2888753,0.07990261,0.010989,6.57248,0.8011714,0.8010981,1.106226,1.807568,3.314099,3.315931,3.311889,3.726687,0.0,1.108058,0.6032961,5.1925,5.207239,0.8754326
2025-08-19T12:22:13.076013,0.00494505,0.6236192,0.3474311,0.2878993,0.00018315,0.0,0.1590766,0.00195186,0.307418,0.0696084,0.0106227,6.08133,0.8011714,0.8036622,1.107325,1.809522,3.314099,3.314099,3.313745,3.724831,0.0,1.10586,0.604395,5.19116,5.1992,0.8778502
2025-08-19T12:22:14.113983,0.00494505,0.6568009,0.3464552,0.279116,6.105e-05,0.0,0.1746915,0.00195186,0.08392998,0.0034314,0.0105006,5.4473,0.8011714,0.802197,1.106959,1.808545,3.314099,3.315931,3.307249,3.724831,0.0,1.107325,0.608058,5.20858,5.207239,0.8789246
2025-08-19T12:22:15.143449,0.0052503,0.571895,0.348407,0.2742363,0.00018315,0.0,0.16786,0.00097593,0.2878993,0.0642162,0.0107448,6.4296,0.8014645,0.8018308,1.106959,1.808057,3.312268,3.314099,3.307249,3.740607,0.0,1.110988,0.6003657,5.20456,5.20054,0.8786561
2025-08-19T12:22:16.174862,0.0047619,0.6899826,0.3454792,0.2849716,0.00018315,0.0,0.1629803,0.00390372,0.2761882,0.0803928,0.0108669,6.20635,0.8011714,0.802197,1.108058,1.808057,3.314099,3.314099,3.319313,3.741535,0.0,1.105127,0.6036624,5.20456,5.1992,0.8789246
2025-08-19T12:22:17.202814,0.00482295,0.6880306,0.3454792,0.2869234,0.00018315,0.0,0.1639562,0.00292779,0.3035142,0.0779418,0.0112332,6.38495,0.8017574,0.8018308,1.104394,1.806592,3.315015,3.315015,3.312817,3.725759,0.0,1.101464,0.6032961,5.20322,5.207239,0.8791933
2025-08-19T12:22:18.232845,0.00506715,0.6753436,0.3474311,0.2859475,0.00018315,0.0,0.1590766,0.00097593,0.2683808,0.068628,0.0105006,6.53676,0.8011714,0.8025633,1.106592,1.809034,3.313183,3.316846,3.355503,3.724831,0.0,1.107691,0.6018309,5.18982,5.20456,0.876507
2025-08-19T12:22:19.263244,0.00470085,0.6870547,0.3454792,0.279116,6.105e-05,0.0,0.1590766,0.00292779,0.3015624,0.0681378,0.0108669,4.29533,0.8011714,0.8029296,1.108058,1.808545,3.315015,3.314099,3.301682,3.733183,0.0,1.101464,0.6032961,5.19652,5.19652,0.8805364
2025-08-19T12:22:20.293613,0.0047619,0.6811991,0.3464552,0.2732604,0.00018315,0.0,0.1629803,0.00390372,0.3181532,0.0754908,0.0106227,6.47425,0.8002922,0.8025633,1.108058,1.809034,3.314099,3.315015,3.309105,3.740607,0.0,1.110622,0.6047613,5.20456,5.1925,0.8775815
2025-08-19T12:22:21.425377,0.00494505,0.641186,0.3445033,0.2781401,6.105e-05,0.0,0.1600525,0.00195186,0.2986346,0.07353001,0.0107448,6.63499,0.8011714,0.802197,1.108058,1.808057,3.314099,3.315931,3.319313,3.731327,0.0,1.108058,0.6029298,5.20054,5.1992,0.8775815
